time,amplitude
0.000000000000000000e+00,3.672316384180790982e-01
2.004008016032063962e-03,4.973086237744003824e-01
4.008016032064127925e-03,5.283411477585949756e-01
6.012024048096191453e-03,5.353883430779938779e-01
8.016032064128255849e-03,4.785017866854067714e-01
1.002004008016032024e-02,4.949631560519103246e-01
1.202404809619238291e-02,5.170989164902431989e-01
1.402805611222444730e-02,9.959241535221283748e-01
1.603206412825651170e-02,9.577634313245504405e-01
1.803607214428857436e-02,9.993278045793412279e-01
2.004008016032064049e-02,9.800165941145243531e-01
2.204408817635270315e-02,9.869290819241134383e-01
2.404809619238476581e-02,9.835976477329783085e-01
2.605210420841683194e-02,9.411634637104130396e-01
2.805611222444889460e-02,1.002499358435303467e+00
3.006012024048096073e-02,9.926485718667058533e-01
3.206412825651302340e-02,9.945959917630718961e-01
3.406813627254508953e-02,9.943406712623555910e-01
3.607214428857714872e-02,9.943430620792084174e-01
3.807615230460921485e-02,9.943532761227805716e-01
4.008016032064128098e-02,9.943495042701233633e-01
4.208416833667334017e-02,9.943504323502999620e-01
4.408817635270540630e-02,9.943502639565254819e-01
4.609218436873747243e-02,9.943502822401741881e-01
4.809619238476953162e-02,9.943502833555873943e-01
5.010020040080159776e-02,9.943502821819834026e-01
5.210420841683366389e-02,9.943502825587319238e-01
5.410821643286573002e-02,9.943502824730401368e-01
5.611222444889778921e-02,9.943502824871495172e-01
5.811623246492985534e-02,9.943502824860013245e-01
6.012024048096192147e-02,9.943502824857779476e-01
6.212424849699398066e-02,9.943502824859057343e-01
6.412825651302604679e-02,9.943502824858689859e-01
6.613226452905811292e-02,9.943502824858767575e-01
6.813627254509017905e-02,9.943502824858757583e-01
7.014028056112224518e-02,9.943502824858757583e-01
7.214428857715429744e-02,9.943502824858757583e-01
7.414829659318636357e-02,9.943502824858758693e-01
7.615230460921842970e-02,9.943502824858756473e-01
7.815631262525049583e-02,9.943502824858756473e-01
8.016032064128256196e-02,9.943502824858756473e-01
8.216432865731462809e-02,9.943502824858757583e-01
8.416833667334668034e-02,9.943502824858758693e-01
8.617234468937874647e-02,9.943502824858756473e-01
8.817635270541081260e-02,9.943502824858757583e-01
9.018036072144287874e-02,9.943502824858758693e-01
9.218436873747494487e-02,9.943502824858757583e-01
9.418837675350701100e-02,9.943502824858758693e-01
9.619238476953906325e-02,9.943502824858756473e-01
9.819639278557112938e-02,9.943502824858757583e-01
1.002004008016031955e-01,9.943502824858758693e-01
1.022044088176352616e-01,9.943502824858756473e-01
1.042084168336673278e-01,9.943502824858758693e-01
1.062124248496993939e-01,9.943502824858758693e-01
1.082164328657314600e-01,9.943502824858756473e-01
1.102204408817635123e-01,9.943502824858758693e-01
1.122244488977955784e-01,9.943502824858755362e-01
1.142284569138276445e-01,9.943502824858757583e-01
1.162324649298597107e-01,9.943502824858752032e-01
1.182364729458917768e-01,9.943502824858806433e-01
1.202404809619238429e-01,9.943502824858490019e-01
1.222444889779558952e-01,9.943502824859894451e-01
1.242484969939879613e-01,9.943502824855449118e-01
1.262525050100200275e-01,9.943502824860208644e-01
1.282565130260520936e-01,9.943502824925046779e-01
1.302605210420841597e-01,9.943502824309540244e-01
1.322645290581162258e-01,9.943502827742430883e-01
1.342685370741482920e-01,9.943502813644051752e-01
1.362725450901803581e-01,9.943502852623251620e-01
1.382765531062124242e-01,9.943502854464256746e-01
1.402805611222444904e-01,9.943501937313286021e-01
1.422845691382765287e-01,9.943509082276027478e-01
1.442885771543085949e-01,9.943472550070913130e-01
1.462925851703406610e-01,9.943610643413927086e-01
1.482965931863727271e-01,9.943294445915020763e-01
1.503006012024047933e-01,9.942698630513702174e-01
1.523046092184368594e-01,9.954670441396310521e-01
1.543086172344689255e-01,9.860922940805120218e-01
1.563126252505009917e-01,9.841358262693499226e-01
1.583166332665330578e-01,9.803264244912177627e-01
1.603206412825651239e-01,9.772523258325845896e-01
1.623246492985971901e-01,9.773339544078707419e-01
1.643286573146292562e-01,9.774129086219875973e-01
1.663326653306613223e-01,9.775008458130081124e-01
1.683366733466933607e-01,9.784733981108445500e-01
1.703406813627254268e-01,9.940390399403614685e-01
1.723446893787574929e-01,9.321908187999531359e-01
1.743486973947895591e-01,1.000387628809493501e+00
1.763527054108216252e-01,9.921263729657499031e-01
1.783567134268536913e-01,9.948983318206225945e-01
1.803607214428857575e-01,9.942505708819231458e-01
1.823647294589178236e-01,9.943610761362382533e-01
1.843687374749498897e-01,9.943509622849335816e-01
1.863727454909819559e-01,9.943495898385849019e-01
1.883767535070140220e-01,9.943505046640107592e-01
1.903807615230460881e-01,9.943502318469560342e-01
1.923847695390781265e-01,9.943502908505712501e-01
1.943887775551101926e-01,9.943502818036512592e-01
1.963927855711422588e-01,9.943502823040470950e-01
1.983967935871743249e-01,9.943502831766779515e-01
2.004008016032063910e-01,9.943502787190963144e-01
2.024048096192384572e-01,9.943502989775521161e-01
2.044088176352705233e-01,9.943502308180244276e-01
2.064128256513025894e-01,9.943503352737279588e-01
2.084168336673346555e-01,9.943510703056812616e-01
2.104208416833667217e-01,9.943429304126719659e-01
2.124248496993987878e-01,9.943908516400198350e-01
2.144288577154308539e-01,9.941850861415866270e-01
2.164328657314629201e-01,9.948018670374356720e-01
2.184368737474949584e-01,9.886873450409074948e-01
2.204408817635270246e-01,9.886139527065131993e-01
2.224448897795590907e-01,9.905084334955447378e-01
2.244488977955911568e-01,9.949202358381528111e-01
2.264529058116232230e-01,9.942091548667039147e-01
2.284569138276552891e-01,9.944540158807195773e-01
2.304609218436873552e-01,9.945420077098646727e-01
2.324649298597194214e-01,9.904608524789467738e-01
2.344689378757514875e-01,9.808188517052834898e-01
2.364729458917835536e-01,9.836213518474964390e-01
2.384769539078156197e-01,9.785123490410463365e-01
2.404809619238476859e-01,9.916805220273338106e-01
2.424849699398797520e-01,9.336481190582941458e-01
2.444889779559117904e-01,1.002126469228990846e+00
2.464929859719438565e-01,9.921578100724867122e-01
2.484969939879759226e-01,9.948049972493563375e-01
2.505010020040079888e-01,9.942853975677782286e-01
2.525050100200400549e-01,9.943525732640892123e-01
2.545090180360721210e-01,9.943522705557646946e-01
2.565130260521041872e-01,9.943494725664752121e-01
2.585170340681362533e-01,9.943504914994042432e-01
2.605210420841683194e-01,9.943502425299821645e-01
2.625250501002003856e-01,9.943502873479911353e-01
2.645290581162324517e-01,9.943502825780041743e-01
2.665330661322645178e-01,9.943502822481888881e-01
2.685370741482965840e-01,9.943502825679101376e-01
2.705410821643286501e-01,9.943502824663419393e-01
2.725450901803607162e-01,9.943502824892886949e-01
2.745490981963927823e-01,9.943502824855451339e-01
2.765531062124248485e-01,9.943502824858396760e-01
2.785571142284569146e-01,9.943502824859025147e-01
2.805611222444889807e-01,9.943502824858675426e-01
2.825651302605209914e-01,9.943502824858774236e-01
2.845691382765530575e-01,9.943502824858754252e-01
2.865731462925851236e-01,9.943502824858757583e-01
2.885771543086171897e-01,9.943502824858757583e-01
2.905811623246492559e-01,9.943502824858757583e-01
2.925851703406813220e-01,9.943502824858759803e-01
2.945891783567133881e-01,9.943502824858756473e-01
2.965931863727454543e-01,9.943502824858757583e-01
2.985971943887775204e-01,9.943502824858759803e-01
3.006012024048095865e-01,9.943502824858758693e-01
3.026052104208416527e-01,9.943502824858756473e-01
3.046092184368737188e-01,9.943502824858758693e-01
3.066132264529057849e-01,9.943502824858755362e-01
